age,ageDist
2,2.020093436
3,1.988796649
4,2.012856016
5,2.019007752
6,1.966881177
7,2.012622016
8,1.996696754
9,2.00040428
10,2.03005312
11,1.880629446
12,1.88850634
13,1.83796566
14,1.818575872
15,1.874100184
16,1.800988452
17,1.863684342
18,1.952469336
19,2.067534802
20,2.076287538
21,1.949203284
22,1.930785969
23,1.944523284
24,1.994919017
25,2.135779428
26,2.14093927
27,2.14828327
28,2.149955848
29,2.181742425
30,2.207508002
31,2.114825061
32,2.131979534
33,2.07490438
34,2.033052015
35,2.015388332
36,1.912506023
37,1.864603763
38,1.797597347
39,1.72481151
40,1.715272458
41,1.654387462
42,1.687822934
43,1.650260726
44,1.258640911
45,1.269834068
46,1.250119333
47,1.25496228
48,1.100686659
49,1.014784981
50,0.96779409
51,0.923363461
52,0.883077569
53,0.822770468
54,0.797914838
55,0.767404841
56,0.696822582
57,0.689366793
58,0.663216111
59,0.649513375
60,0.619820956
61,0.574514959
62,0.550146751
63,0.509120017
64,0.466920441
