model,ageBin,avgAssetsExDebt,fracOwn
unique,20.0,-0.103204178156,0.08396875
unique,25.0,-0.1836279568,0.15015
unique,30.0,-0.7962574375,0.5118
unique,35.0,-1.20069281895,0.748175
unique,40.0,-1.41217698958,0.877925
unique,45.0,-1.47041857942,0.9163
unique,50.0,-1.4875975009,0.937375
unique,55.0,-1.03912844419,0.959246040253
unique,60.0,0.724933361749,0.41300594143
unique,65.0,0.212726634713,0.216391907558
unique,70.0,-0.5852844197,0.650458931033
unique,75.0,-0.631474372985,0.684679105519
unique,80.0,-0.624051404496,0.686689634534
